set contour 
set terminal gif animate 
set out 'anim.gif' 
splot '-' w pm3d 
1 0.8 1.00805
1 0.9 1.00868
1 1 1.00894
1 1.1 1.00905
1 1.2 1.0091
1 1.3 1.00912
1 1.4 1.00912
1 1.5 1.00913
1 1.6 1.00913
1 1.7 1.00913
1 1.8 0.898018
1 1.9 0.526066
1 2 0

1.1 0 0
1.1 0.1 0.518721
1.1 0.2 0.790753
1.1 0.3 0.914783
1.1 0.4 0.967499
1.1 0.5 0.98904
1.1 0.6 0.997652
1.1 0.7 1.00106
1.1 0.8 1.0024
1.1 0.9 1.00294
1.1 1 1.00315
1.1 1.1 1.00323
1.1 1.2 1.00327
1.1 1.3 1.00328
1.1 1.4 1.00329
1.1 1.5 1.00329
1.1 1.6 1.00329
1.1 1.7 1.00329
1.1 1.8 0.89218
1.1 1.9 0.521275
1.1 2 0

1.2 0 0
1.2 0.1 0.518575
1.2 0.2 0.79031
1.2 0.3 0.913953
1.2 0.4 0.966283
1.2 0.5 0.987504
1.2 0.6 0.995883
1.2 0.7 0.999139
1.2 0.8 1.00039
1.2 0.9 1.00088
1.2 1 1.00106
1.2 1.1 1.00113
1.2 1.2 1.00116
1.2 1.3 1.00117
1.2 1.4 1.00118
1.2 1.5 1.00118
1.2 1.6 1.00118
1.2 1.7 1.00118
1.2 1.8 0.890069
1.2 1.9 0.519518
1.2 2 0

1.3 0 0
1.3 0.1 0.518534
1.3 0.2 0.790178
1.3 0.3 0.913694
1.3 0.4 0.96589
1.3 0.5 0.986991
1.3 0.6 0.995277
1.3 0.7 0.99847
1.3 0.8 0.999684
1.3 0.9 1.00014
1.3 1 1.00032
1.3 1.1 1.00038
1.3 1.2 1.00041
1.3 1.3 1.00042
1.3 1.4 1.00042
1.3 1.5 1.00042
1.3 1.6 1.00042
1.3 1.7 1.00042
1.3 1.8 0.88931
1.3 1.9 0.518879
1.3 2 0

1.4 0 0
1.4 0.1 0.518523
1.4 0.2 0.790139
1.4 0.3 0.913615
1.4 0.4 0.965764
1.4 0.5 0.986821
1.4 0.6 0.995073
1.4 0.7 0.998239
1.4 0.8 0.999436
1.4 0.9 0.999884
1.4 1 1.00005
1.4 1.1 1.00011
1.4 1.2 1.00014
1.4 1.3 1.00014
1.4 1.4 1.00015
1.4 1.5 1.00015
1.4 1.6 1.00015
1.4 1.7 1.00015
1.4 1.8 0.889038
1.4 1.9 0.518648
1.4 2 0

1.5 0 0
1.5 0.1 0.51852
1.5 0.2 0.790128
1.5 0.3 0.913591
1.5 0.4 0.965724
1.5 0.5 0.986766
1.5 0.6 0.995004
1.5 0.7 0.99816
1.5 0.8 0.99935
1.5 0.9 0.999794
1.5 1 0.999958
1.5 1.1 1.00002
1.5 1.2 1.00004
1.5 1.3 1.00005
1.5 1.4 1.00005
1.5 1.5 1.00005
1.5 1.6 1.00005
1.5 1.7 1.00005
1.5 1.8 0.888942
1.5 1.9 0.518565
1.5 2 0

1.6 0 0
1.6 0.1 0.518519
1.6 0.2 0.790125
1.6 0.3 0.913583
1.6 0.4 0.965712
1.6 0.5 0.986748
1.6 0.6 0.994981
1.6 0.7 0.998134
1.6 0.8 0.999321
1.6 0.9 0.999762
1.6 1 0.999925
1.6 1.1 0.999985
1.6 1.2 1.00001
1.6 1.3 1.00001
1.6 1.4 1.00002
1.6 1.5 1.00002
1.6 1.6 1.00002
1.6 1.7 1.00002
1.6 1.8 0.888908
1.6 1.9 0.518535
1.6 2 0

1.7 0 0
1.7 0.1 0.518519
1.7 0.2 0.790124
1.7 0.3 0.913581
1.7 0.4 0.965708
1.7 0.5 0.986742
1.7 0.6 0.994974
1.7 0.7 0.998125
1.7 0.8 0.999311
1.7 0.9 0.999752
1.7 1 0.999914
1.7 1.1 0.999973
1.7 1.2 0.999994
1.7 1.3 1
1.7 1.4 1
1.7 1.5 1.00001
1.7 1.6 1.00001
1.7 1.7 1.00001
1.7 1.8 0.888895
1.7 1.9 0.518524
1.7 2 0

1.8 0 0
1.8 0.1 0.456019
1.8 0.2 0.696374
1.8 0.3 0.808112
1.8 0.4 0.856332
1.8 0.5 0.876145
1.8 0.6 0.88401
1.8 0.7 0.887053
1.8 0.8 0.888208
1.8 0.9 0.88864
1.8 1 0.8888
1.8 1.1 0.888858
1.8 1.2 0.888879
1.8 1.3 0.888887
1.8 1.4 0.88889
1.8 1.5 0.888891
1.8 1.6 0.888891
1.8 1.7 0.888891
1.8 1.8 0.77778
1.8 1.9 0.407409
1.8 2 0

1.9 0 0
1.9 0.1 0.258102
1.9 0.2 0.397328
1.9 0.3 0.465266
1.9 0.4 0.496119
1.9 0.5 0.50941
1.9 0.6 0.514912
1.9 0.7 0.517121
1.9 0.8 0.517987
1.9 0.9 0.518319
1.9 1 0.518445
1.9 1.1 0.518492
1.9 1.2 0.518509
1.9 1.3 0.518516
1.9 1.4 0.518518
1.9 1.5 0.518519
1.9 1.6 0.518519
1.9 1.7 0.518519
1.9 1.8 0.407408
1.9 1.9 0.203704
1.9 2 0

2 0 0
2 0.1 0
2 0.2 0
2 0.3 0
2 0.4 0
2 0.5 0
2 0.6 0
2 0.7 0
2 0.8 0
2 0.9 0
2 1 0
2 1.1 0
2 1.2 0
2 1.3 0
2 1.4 0
2 1.5 0
2 1.6 0
2 1.7 0
2 1.8 0
2 1.9 0
2 2 0

e
splot '-' w pm3d 
0 0 100
0 0.1 100
0 0.2 100
0 0.3 100
0 0.4 100
0 0.5 100
0 0.6 100
0 0.7 100
0 0.8 100
0 0.9 100
0 1 100
0 1.1 100
0 1.2 100
0 1.3 100
0 1.4 100
0 1.5 100
0 1.6 100
0 1.7 100
0 1.8 100
0 1.9 100
0 2 100

0.1 0 0
0.1 0.1 39.0898
0.1 0.2 51.1001
0.1 0.3 54.9399
0.1 0.4 56.196
0.1 0.5 56.6109
0.1 0.6 56.748
0.1 0.7 56.7931
0.1 0.8 56.8078
0.1 0.9 56.8126
0.1 1 56.8141
0.1 1.1 56.8146
0.1 1.2 56.8147
0.1 1.3 56.8148
0.1 1.4 56.8148
0.1 1.5 56.8148
0.1 1.6 56.8148
0.1 1.7 56.7992
0.1 1.8 54.639
0.1 1.9 42.7907
0.1 2 0

0.2 0 0
0.2 0.1 15.2603
0.2 0.2 23.4185
0.2 0.3 27.0231
